Year,State_interest
1815,6.3
1816,5.8
1817,5.7
1818,5.7
1819,5.8
1820,5.6
1821,5.3
1822,5.3
1823,5.3
1824,4.4
1825,4.3
1826,4.8
1827,4.7
1828,4.6
1829,4.3
1830,4.8
1831,6.4
1832,6.0
1833,5.3
1834,4.9
1835,4.9
1836,4.6
1837,4.7
1838,4.6
1839,4.7
1840,4.8
1841,4.9
1842,4.8
1843,4.6
1844,4.1
1845,4.0
1846,4.2
1847,4.4
1848,5.6
1849,4.9
1850,4.5
1851,4.3
1852,4.2
1853,4.0
1854,4.3
1855,4.0
1856,4.0
1857,4.0
1858,3.9
1859,4.0
1860,3.9
1861,3.9
1862,3.9
1863,3.9
1864,4.0
1865,4.1
1866,4.4
1867,4.6
1868,4.5
1869,4.5
1870,4.7
1871,4.7
1872,4.5
1873,4.4
1874,4.2
1875,4.0
1876,4.0
1877,3.9
1878,4.0
1879,3.9
1880,3.8
1881,3.8
1882,3.7
1883,3.8
1884,3.8
1885,3.7
1886,3.4
1887,3.4
1888,3.3
1889,3.2
1890,3.1
1891,3.2
1892,3.1
1893,3.0
1894,2.8
1895,2.7
1896,2.7
1897,2.8
1898,2.9
1899,3.0
1900,3.2
1901,3.2
1902,3.1
1903,3.1
1904,3.1
1905,3.2
1906,3.2
1907,3.4
1908,3.3
1909,3.2
1910,3.4
1911,3.5
1912,3.7
1913,3.8
1914,3.8
1915,4.1
1916,4.1
1917,4.1
1918,4.4
1919,4.9
1920,5.7
1921,5.1
1922,4.9
1923,4.6
1924,4.7
1925,4.2
1926,4.0
1927,4.0
1928,3.9
1929,3.9
1930,3.8
1931,3.9
1932,3.9
1933,3.7
1934,3.4
1935,3.4
1936,3.3
1937,3.1
1938,3.0
1939,3.6
1940,4.0
1941,3.6
1942,3.2
1943,3.1
1944,3.1
1945,1.7
1946,3.0
1947,3.1
1948,3.1
1949,3.1
1950,3.1
1951,3.4
1952,3.4
1953,3.2
1954,3.2
1955,3.2
1956,3.4
1957,4.2
1958,4.2
1959,4.3
1960,4.4
1961,4.2
1962,4.4
1963,4.4
1964,4.8
1965,5.2
1966,5.9
,
"Bron: CBS, Tweehonderd jaar statistiek in tijdreeksen",
