Year,VTT,Pop
1815,100,2233000
1816,106.2,2263000
1817,110.4,2291000
1818,105.9,2306000
1819,96.9,2328000
1820,96.3,2354000
1821,91,2378000
1822,89.7,2411000
1823,94.8,2442000
1824,90,2475000
1825,92.8,2515000
1826,92.1,2550000
1827,96.6,2566000
1828,94.5,2580000
1829,95.6,2608000
1830,91.7,2626000
1831,93,2721000
1832,93.9,2813000
1833,86.5,2899000
1834,85.4,2996000
1835,85.8,3092000
1836,90.1,3191000
1837,87.3,3292000
1838,89.8,3394000
1839,90.3,3500000
1840,100.4,2874000
1841,101.4,2908000
1842,98.3,2944000
1843,94.2,2970000
1844,91.9,3002000
1845,95.1,3034000
1846,97.8,3068000
1847,103.4,3078000
1848,92.6,3071000
1849,93.1,3074000
1850,92.3,3084000
1851,93.4,3118000
1852,94.9,3153000
1853,95.5,3186000
1854,103.4,3209000
1855,102.9,3233000
1856,107.6,3243000
1857,107.7,3269000
1858,102,3291000
1859,96.9,3303000
1860,104.1,3312000
1861,104.4,3329000
1862,108.8,3356000
1863,110.8,3382000
1864,112.8,3418000
1865,111.5,3448000
1866,114.2,3478000
1867,109,3495000
1868,109.7,3530000
1869,111.7,3560000
1870,113,3595000
1871,114.4,3629000
1872,123.4,3648000
1873,127.1,3682000
1874,125.5,3724000
1875,123.7,3772000
1876,121.5,3811000
1877,122,3860000
1878,116.6,3913000
1879,113.6,3962000
1880,118.1,4016000
1881,118.7,4058000
1882,120.7,4107000
1883,118.3,4161000
1884,116.8,4207000
1885,113.9,4254000
1886,112.4,4305000
1887,114.3,4354000
1888,115.5,4409000
1889,117.4,4463000
1890,117.3,4515000
1891,117.9,4563000
1892,115,4615000
1893,113,4658000
1894,114.1,4718000
1895,112.6,4776000
1896,115.1,4836000
1897,114.8,4904000
1898,117.3,4973000
1899,118.4,5040000
1900,121.7,5104000
1901,120.8,5163000
1902,122,5233000
1903,123.2,5307000
1904,125,5384000
1905,127.6,5460000
1906,131.1,5537000
1907,130,5616000
1908,128.1,5696000
1909,130.9,5772000
1910,135.1,5858000
1911,141.7,5951000
1912,145.5,6033000
1913,149.2,6133000
1914,147.15,6235000
1915,145.1,6340000
1916,143.05,6433000
1917,141,6527000
1918,138.95,6618000
1919,136.9,6675000
1920,134.85,6754000
1921,132.8,6865000
1922,135.4,6978000
1923,136.6,7081000
1924,140.9,7196000
1925,142.9,7308000
1926,148.4,7416000
1927,150.6,7522000
1928,153.9,7621000
1929,153.5,7728000
1930,152.4,7825000
1931,147.4,7936000
1932,145.2,8062000
1933,143.9,8183000
1934,141.1,8290000
1935,142.5,8392000
1936,146.7,8475000
1937,151.1,8557000
1938,148.4,8640000
1939,153.6,8729000
